220001	3180	52	8	124	9	2524	225	223	133	2639	 
220002	3175	78	12	150	3	2495	235	219	114	2614	 
220003	3168	87	12	170	0	2467	238	220	111	2589	 
220004	3162	93	18	175	49	2438	245	211	89	2563	 
220005	3149	100	19	162	40	2410	247	211	85	2538	 
220006	3142	115	14	150	33	2381	244	225	107	2513	 
220007	3135	124	14	134	26	2353	243	229	111	2488	 
220008	3129	135	13	124	20	2325	240	234	120	2463	 
220009	3125	148	12	120	16	2297	236	239	131	2438	 
220010	3122	158	12	120	13	2268	233	242	138	2413	 
220011	3120	162	12	120	11	2240	232	243	141	2389	 
220012	3118	157	12	120	9	2212	233	242	137	2364	 
220013	3115	157	12	120	17	2184	233	242	137	2340	 
220014	3113	166	12	108	15	2156	230	244	144	2316	 
220015	3112	171	11	95	14	2128	228	245	147	2292	 
220016	3111	175	11	90	13	2100	226	246	151	2268	 
220017	3111	165	11	90	13	2072	230	244	144	2244	 
220018	3108	135	14	90	10	2045	241	234	119	2221	 
220019	3101	125	15	90	3	2017	244	228	110	2197	 
220020	3095	128	12	90	1	1989	239	233	122	2174	 
220021	3091	129	9	90	4	1962	236	235	129	2151	 
220022	3087	130	8	90	2	1934	233	236	135	2128	 
220023	3085	132	7	90	0	1907	231	237	138	2105	 
220024	3082	132	6	90	0	1879	230	237	140	2083	 
220025	3080	143	5	90	0	1852	227	239	146	2060	 
220026	3079	128	6	90	1	1825	230	236	140	2038	 
220027	3075	113	7	90	0	1798	233	233	132	2016	 
220028	3065	101	1	0	0	1611	221	237	152	1869	 
220029	3064	90	1	30	0	1585	220	237	153	1849	 
220030	3064	293	2	30	0	1559	214	238	162	1829	 
220031	3066	300	5	42	2	1530	205	238	172	1809	 
220032	3069	312	7	67	5	1500	201	235	173	1790	 
220033	3071	313	9	95	6	1471	195	233	178	1771	 
220034	3076	319	9	108	13	1442	196	232	175	1752	 
220035	3078	346	7	127	14	1412	207	229	161	1734	 
220036	3078	9	6	150	14	1383	213	227	152	1716	 
220037	3077	28	6	170	14	1354	218	228	146	1698	 
220038	3075	37	5	192	13	1324	220	229	146	1681	 
220039	3074	34	3	212	13	1295	219	232	149	1664	 
220040	3073	56	3	234	14	1266	222	232	146	1648	 
220041	3071	80	4	255	12	1237	225	232	142	1631	 
220042	3069	104	4	277	10	1208	226	234	143	1616	 
220043	3067	123	5	297	9	1179	228	236	142	1600	 
220044	3065	116	7	319	7	1150	233	233	133	1585	 
220045	3060	106	8	339	4	1120	233	231	130	1571	 
220046	3057	94	10	361	2	1090	236	226	120	1557	 
220047	3050	87	12	384	3	1061	238	220	111	1543	 
220048	3044	82	11	408	7	1031	235	220	115	1530	 
220049	3038	79	11	433	12	1001	235	220	115	1517	 
220050	3032	77	13	458	17	972	236	215	107	1505	 
220051	3024	85	31	484	23	942	246	171	30	1493	 
220052	2998	88	31	510	47	912	247	173	0	1482	 
220053	2989	86	13	537	55	883	238	218	108	1471	 
220054	2983	82	12	564	58	853	237	219	111	1461	 
220055	2976	82	14	591	63	824	239	214	102	1452	 
220056	2968	80	16	618	70	794	240	209	94	1442	 
220057	2959	80	19	604	180	765	241	203	85	1434	 
220058	2948	83	21	577	169	735	244	198	74	1426	 
220059	2936	85	20	551	157	706	244	201	78	1419	 
220060	2917	89	15	499	146	648	242	214	98	1406	 
220061	2909	88	16	474	138	618	242	212	94	1401	 
220062	2900	83	20	450	129	589	244	200	77	1396	 
220063	2887	74	24	426	120	560	240	187	65	1392	 
220064	2874	61	23	404	107	532	232	186	75	1388	 
220065	2865	54	21	379	98	503	227	190	87	1385	 
220066	2845	61	22	323	88	446	232	189	78	1381	 
220067	2834	63	20	295	86	418	233	195	85	1380	 
220068	2825	65	18	268	77	390	234	200	91	1380	 
220069	2816	66	17	240	78	362	234	203	95	1380	 
220070	2808	71	16	210	70	335	236	206	96	1381	 
220071	2799	82	20	180	89	309	243	201	79	1383	 
220072	2786	88	28	150	76	283	248	182	43	1385	 
220073	2767	88	30	120	57	258	248	175	33	1388	 
220074	2751	85	26	90	41	234	246	186	52	1392	 
220075	2738	81	23	60	28	212	244	192	65	1396	 
220076	2726	78	22	30	16	192	242	194	71	1401	 
220077	2715	72	23	0	0	170	239	190	71	1406	 
220078	2702	62	22	30	7	150	232	188	77	1412	 
220079	2693	51	22	42	2	127	224	186	85	1419	 
220080	2849	293	36	702	477	800	98	205	234	2407	 
220081	2869	293	37	731	493	830	96	204	235	2412	 
220082	2890	293	36	759	515	859	97	205	235	2418	 
220083	2910	290	36	787	536	886	97	207	237	2424	 
220084	2932	288	37	816	560	912	94	208	240	2431	 
220085	2954	290	31	845	581	939	121	219	230	2438	 
220086	2965	303	16	824	192	966	174	231	196	2445	 
220087	2968	320	8	794	188	993	199	233	173	2452	 
220088	2971	320	7	765	186	1020	202	233	171	2460	 
220089	2973	352	7	735	183	1047	208	229	158	2468	 
220090	2972	29	8	706	179	1073	217	222	140	2477	 
220091	2968	47	8	677	174	1100	223	223	134	2486	 
220092	2965	45	5	648	166	1127	221	229	143	2495	 
220093	2964	48	6	618	162	1155	222	227	140	2505	 
220094	2961	58	9	589	159	1182	227	221	127	2514	 
220095	2956	34	7	560	153	1209	219	224	141	2525	 
220096	2957	355	5	532	150	1237	211	230	157	2535	 
220097	2958	0	4	503	146	1265	213	232	156	2546	 
220098	2958	18	5	474	142	1292	216	230	151	2557	 
220099	2957	345	5	446	133	1320	211	232	160	2568	 
220100	2959	345	5	418	128	1348	209	231	160	2580	 
220101	2957	10	5	390	119	1376	214	229	152	2592	 
220102	2957	352	3	362	113	1405	214	233	158	2604	 
220103	2958	74	6	335	114	1433	228	228	135	2617	 
220104	2951	79	15	306	99	1461	238	212	101	2630	 
220105	2942	63	14	277	82	1489	232	211	109	2643	 
220106	2937	34	13	247	68	1518	218	212	128	2656	 
220107	2934	22	16	218	55	1546	208	204	129	2670	 
220108	2931	6	18	190	43	1575	195	201	140	2684	 
220109	2933	1	20	162	45	1604	187	199	145	2698	 
220110	2931	12	21	134	35	1632	193	191	129	2713	 
220111	2927	6	21	108	25	1661	189	194	137	2728	 
220112	2928	351	21	85	18	1690	178	200	157	2742	 
220113	2931	351	22	67	21	1718	176	197	156	2758	 
220114	2932	345	23	60	22	1747	169	197	163	2773	 
220115	2937	337	24	67	27	1776	161	200	173	2789	 
220116	2942	332	24	85	32	1805	157	202	180	2805	 
220117	2950	321	25	108	48	1834	148	206	194	2818	 
220118	2960	319	24	134	64	1863	149	209	196	2808	 
220119	2968	323	22	162	81	1892	159	211	189	2799	 
220120	2974	328	20	190	87	1921	168	213	182	2790	 
220121	2979	334	19	218	92	1950	175	212	175	2782	 
