201	5.843944684788522e-01	3.015119104205439e-01	1.705078224764461e-01	8.694759340877939e-01	2.321519241227670e-01 
202	3.458115550748146e-01	5.742109505974224e-01	2.340733380226491e-01	5.544294480185009e-01	3.740967220783668e-01 
203	7.827059652785153e-01	6.414178635509415e-01	3.869092853818998e-01	1.943429715277508e-01	4.790944729556754e-01 
204	6.139626566150824e-01	9.228078942158692e-01	9.617474154679229e-03	6.697037379872159e-01	5.973221210235418e-01 
205	1.303089590449065e-01	8.528008272131241e-01	7.506854347299715e-01	4.702985631662102e-01	3.195028506152570e-01 
206	2.367625268658430e-01	7.412007104922083e-01	3.825316835904786e-01	3.504220052785852e-01	6.410328463656506e-01 
207	9.588406626460453e-01	1.581228722518337e-01	7.144193797324452e-01	5.068276085981351e-01	3.643293513588448e-01 
208	5.729942284232616e-01	7.686758283735678e-01	8.228947405299587e-01	4.049774330291940e-01	2.865197731722446e-02 
209	6.641482426767171e-01	7.671374204052359e-01	3.133981446007996e-01	3.766215218622988e-01	3.559012414525684e-01 
210	8.514289993730557e-01	2.683099229546915e-02	3.046581948685665e-01	8.570856649267754e-01	3.839150869395792e-01 
211	5.107055655404320e-01	3.323656612496693e-01	8.436004142036382e-01	5.836227563678897e-01	6.288586359404518e-01 
212	7.321476584478478e-01	5.205622583503862e-01	7.128659346342381e-02	7.095481463109982e-01	4.125443103982962e-02 
213	8.243129002974920e-01	1.532590843981562e-01	9.704046426749249e-01	1.676049025160267e-01	5.526628552746405e-01 
214	1.277877610141970e-01	8.032486351770272e-01	5.663058369527538e-01	4.410586362745597e-01	4.016084582520260e-01 
215	2.844167344874894e-01	5.966922452530553e-01	2.273734187135759e-01	9.083523786945602e-01	6.748524772533391e-01 
216	7.719901017795643e-01	4.623285159795025e-01	4.756540925783065e-02	7.212833675682674e-01	3.531085238727759e-01 
217	3.672344907584707e-01	3.008864930718846e-01	1.255180962960505e-01	9.386492694485518e-01	4.005527355124765e-01 
