78401	5.497891873921071e-01	1.561023909143168e-01	6.993556491843720e-01	4.707436048838416e-01	3.247576477013703e-01	3.444036458251398e-01 
78402	2.248265446139653e-01	8.686743693904273e-01	1.392293345460303e-01	4.608605028825783e-01	7.876078297862517e-01	2.883479671601217e-01 
78403	9.691617822678655e-01	2.304462746899760e-01	5.473161722045770e-01	6.428760536408379e-02	3.209379111943986e-01	4.833513282204553e-01 
78404	6.294290738832249e-01	2.325186170850687e-01	8.999825736902370e-01	2.301177257537662e-01	5.956499033245375e-01	7.317541558154889e-02 
78405	6.119965036553648e-01	2.549297871811905e-01	2.470379365825212e-01	2.985979107632040e-01	8.772076134711178e-01	4.999766478683111e-01 
78406	2.789639371312120e-01	4.401887352615121e-01	3.942930546422042e-01	4.944539956867508e-01	7.750077692331008e-01	5.260308323145643e-01 
78407	1.839908528678191e-02	6.209913062067713e-01	3.872243046073083e-01	3.739342361824768e-01	7.881857607050000e-01	9.519553131600524e-01 
78408	6.758209014472480e-01	9.616195601309804e-01	2.671132143392306e-01	8.470304775126019e-01	1.460517462842388e-01	1.693375760562468e-01 
78409	4.449559078666424e-01	2.717203812125633e-01	3.468619513742724e-01	4.348171782260821e-01	2.495420083729055e-01	8.589074124490665e-01 
78410	6.521290059912512e-01	3.143142894857041e-01	3.404367885142651e-01	4.887916271981569e-01	1.045965458922354e-02	4.739589736008263e-01 
78411	2.166389884490683e-01	1.949750978801756e-01	7.625696931586048e-01	5.537696168730304e-01	5.758415514779056e-01	5.019247416648293e-02 
78412	1.773314012888093e-01	8.172987506201316e-01	2.701301642964683e-01	5.901425214766396e-01	6.281988810546084e-01	6.823488822475927e-01 
78413	8.355859250913623e-01	1.790654563996699e-01	4.510075489844257e-01	5.249391865228552e-01	6.038413483045628e-01	7.207320022989203e-02 
78414	9.235517962303557e-01	7.470465670405191e-02	7.073376504671236e-02	9.794370696777176e-01	8.791323210869600e-02	4.910962619431494e-01 
78415	4.657710638456523e-01	5.226986287642928e-01	9.021594050432791e-02	8.774385046157543e-01	2.576340270188301e-01	6.910877780663712e-01 
78416	3.528672181424415e-01	5.771880218134573e-01	8.340451324021407e-01	3.495868654187824e-01	7.860919531870225e-02	9.303907658817812e-01 
78417	3.623141664199269e-01	7.904817198258129e-01	6.583956005894723e-01	6.463781807201182e-01	5.910773538539857e-01	4.462418139420803e-01 
